ID,City,Neighborhood,Price (NIS),Rooms,SQM,Price_per_SQM
e0fb34bb,Tel Aviv,"לב תל אביב, המכבי 1",3000,4.0,70,42.86
c678993c,Tel Aviv,"גני שרונה, גרציאני 6",13600,4.0,102,133.33
d6da9eab,Tel Aviv,"גני שרונה, קרליבך 4",12000,4.0,119,100.84
916e0cdc,Tel Aviv,"יד אליהו, אלטמן אריה 7",8800,4.0,110,80.0
de829f28,Tel Aviv,"רמת אביב ג, פיינשטיין 4",10500,4.0,112,93.75
82e7147f,Tel Aviv,"הצפון החדש, לואי מרשל 46",3500,4.0,120,29.17
d5fd27dd,Tel Aviv,"הצפון החדש, בצלאל 9",16500,4.0,130,126.92
19d146b5,Tel Aviv,"תל חיים, ד""ר אברהם אליהו הרכבי 1",8000,4.0,95,84.21
92d8d1dc,Tel Aviv,"הגוש הגדול, אשכול לוי 80",10500,4.0,120,87.5
90081d35,Tel Aviv,"רמת אביב ג, בית צורי אליהו 28",6500,4.0,90,72.22
9054ba67,Tel Aviv,"ביצרון, שד ההשכלה 17",13250,4.0,132,100.38
0b793775,Tel Aviv,"הדר יוסף, קהילת ורשה 37",10500,4.0,90,116.67
9c57841d,Tel Aviv,"נווה גולן, מייזל זלמן 10",5800,4.0,80,72.5
7cbce3c6,Tel Aviv,"המשתלה, וילנסקי משה 47",14000,4.0,126,111.11
558266d9,Tel Aviv,"נווה שאנן, הגדוד העברי 31",5000,4.0,60,83.33
1a3dd186,Tel Aviv,"כיכר המדינה, ז'בוטינסקי 134",10500,4.0,100,105.0
033e5e4e,Tel Aviv,"הצפון הישן, אבן גבירול 65",12000,4.0,100,120.0
6a0f9adb,Tel Aviv,"נחלת יצחק, תוצרת הארץ 11",10000,4.0,100,100.0
be1556af,Tel Aviv,"בבלי, סנהדרין 10",9250,4.0,85,108.82
dcd5e171,Tel Aviv,"שפירא, מימון שלמה 18",8000,4.0,100,80.0
fdaea3ed,Tel Aviv,"נווה עופר, שז""ר זלמן 51",7500,4.0,88,85.23
7b3fcaf9,Tel Aviv,"נווה אליעזר, צוקרמן יצחק 3",6000,4.0,72,83.33
d494bcce,Tel Aviv,"נחלת יצחק, תוצרת הארץ 5",10800,4.0,90,120.0
a10a9001,Tel Aviv,"נווה אביבים, אינשטיין 67",13000,4.0,122,106.56
f0a192e5,Tel Aviv,"הצפון הישן, פולד ברכה 6",13000,4.0,110,118.18
408e456f,Tel Aviv,"נווה כפיר, דרך דיין משה 34",8900,4.0,116,76.72
9394e42e,Tel Aviv,"הצפון החדש, יהודה המכבי 63",10000,4.0,111,90.09
3250055a,Tel Aviv,"יד אליהו, יפתח 14",5500,4.0,100,55.0
153af17a,Tel Aviv,"נווה חן, מעפילי אגוז 25",6900,4.0,90,76.67
5a110c71,Tel Aviv,"נאות אפקה, קהילת קובנה 2",11000,4.0,126,87.3
eec86e5a,Tel Aviv,"הצפון הישן, בן עזרא 3",3000,4.0,100,30.0
6613a5d9,Tel Aviv,"נאות אפקה, קהילת ונציה 2",11300,4.0,117,96.58
37cca685,Tel Aviv,"יד אליהו, אלטמן אריה 7",8500,4.0,112,75.89
c41589a4,Tel Aviv,"נווה כפיר, דרך דיין משה 34",8500,4.0,116,73.28
